^ Hex ^ Display ^
|566575696c6c657a2064a663726f636865722020 \ 2020202020202020202020202020202020202020|Veuillez d¦crocher   \                     |
|2a20205265746972657a20766f7472652020202a \ 2020202020202063617274652020202020202020|*  Retirez votre   * \        carte        |
|496e74726f64756973657a206574202020202020 \ 7265746972657a20766f74726520636172746520|Introduisez et       \ retirez votre carte |
|2a20205265746972657a20766f7472652020202a \ 2020202020202063617274652020202020202020|*  Retirez votre   * \        carte        |
|506c6163657a2062616e6465206e6f69726520a1 \ 6761756368652064616e73206c612066656e7465|Placez bande noire ¡ \ gauche dans la fente|
|456e666f6e63657a206c61206361727465206574 \ b274657a2d6c61207261706964656d656e742020|Enfoncez la carte et \ ²tez-la rapidement  |
|42616e6465206e6f697265207665727320202020 \ 6c65206861757420657420a22067617563686520|Bande noire vers     \ le haut et ¢ gauche |
|4361727465206e6f6e20616363657074a6652020 \ 436f6e73756c74657a206c61206c697374652020|Carte non accept¦e   \ Consultez la liste  |
|44617465206e6f6e2076616c6964652020202020 \ 5574696c6973657a206175747265206361727465|Date non valide      \ Utilisez autre carte|
|4361727465206e6f6e206c697369626c65202020 \ 5574696c6973657a206175747265206361727465|Carte non lisible    \ Utilisez autre carte|
|2a2020202056616c69646174696f6e202020202a \ 202020202020656e20636f757273202020202020|*    Validation    * \       en cours      |
|2a20566575696c6c657a20617474656e6472652a \ 2020202020202020202020202020202020202020|* Veuillez attendre* \                     |
|20204361727465206e6f6e2076616c6964652020 \ 202020202052616363726f6368657a2020202020|  Carte non valide   \      Raccrochez     |
|4d657263692e204d61696e74656e616e74202020 \ 666169746573206c65206e756da6726f20202020|Merci. Maintenant    \ faites le num¦ro    |
|466169746573206c65206e756da6726f20202020 \ 2020202020202020202020202020202020202020|Faites le num¦ro     \                     |
|2020202020202020202020202020202020202020 \ 506f757220636f7272696765723a20b720202020|                     \ Pour corriger: ·    |
|4e756da6726f20636f6d706f73a63a2020202020 \ 2020202020202020202020202020202020202020|Num¦ro compos¦:      \                     |
|456e7472657a20766f747265204e495020202020 \ 2020202020202020b8b8b8b82020202020202020|Entrez votre NIP     \         ¸¸¸¸        |
|566f757320706f7576657a206661697265202020 \ 6c27617070656c2073756976616e742020202020|Vous pouvez faire    \ l'appel suivant     |
|456e7472657a206e6f206361727465206f752020 \ 617474656e64657a2074a66ca670686f6e737465|Entrez no carte ou   \ attendez t¦l¦phonste|
|4573736179657a20617574726520746f75636865 \ 6f7520666169746573206c65206e756da6726f20|Essayez autre touche \ ou faites le num¦ro |
|506f757220666169726520756e20617574726520 \ 617070656c206170707579657a2073757220b720|Pour faire un autre  \ appel appuyez sur · |
|506f757220617574726520617070656c203a20b7 \ 2020202020202020202020202020202020202020|Pour autre appel : · \                     |
|417563756e7320667261697320706f7572202020 \ 6c65206465726e69657220617070656c20202020|Aucuns frais pour    \ le dernier appel    |
|202052616363726f6368657a2070756973202020 \ 202020207265636f6d6d656e63657a2020202020|  Raccrochez puis    \     recommencez     |
|52616363726f6368657a20202020202020202020 \ 2020202020202020202020202020202020202020|Raccrochez           \                     |
|202020617070656c73206d6178696d756d202020 \ 52616363726f6368657a20202020202020202020|   appels maximum    \ Raccrochez          |
|5673206e6520706f7576657a206f6274656e6972 \ 6365206e6f2e204170707579657a2073757220b7|Vs ne pouvez obtenir \ ce no. Appuyez sur ·|
|2020202020202020202020202020202020202020 \ 2a2020656e2064a672616e67656d656e7420202a|                     \ *  en d¦rangement  *|
|2020436172746573205365756c656d656e742020 \ 2020202020202020202020202020202020202020|  Cartes Seulement   \                     |
|20205069a5636573205365756c656d656e742020 \ 2020202020202020202020202020202020202020|  Pi¥ces Seulement   \                     |
|566f7573206176657a20756e20617070656c2020 \ 20202020202052a6706f6e64657a202020202020|Vous avez un appel   \       R¦pondez      |
|566575696c6c657a20617474656e647265202020 \ 4d61696e74656e616e636520656e20636f757273|Veuillez attendre    \ Maintenance en cours|
|2020202020202020202020202020202020202020 \ 4572726575722e20506f757220636f72723ab720|                     \ Erreur. Pour corr:· |
|43617274652074a66ca670686f6e697175652020 \ 206e6520666f6e6374696f6e6e65207061732020|Carte t¦l¦phonique   \  ne fonctionne pas  |
