^ Hex ^ Display ^
|4c6576616e746520656c207265636570746f7220 \ 2020202020202020202020202020202020202020|Levante el receptor  \                     |
|2a5265636f6a61207375207461726a657461202a \ 2020202020706f72206661766f72202020202020|*Recoja su tarjeta * \      por favor      |
|496e73657274652079207265636f6a6120737520 \ 7461726a657461202020706f72206661766f7220|Inserte y recoja su  \ tarjeta   por favor |
|2a5265636f6a61207375207461726a657461202a \ 2020202020706f72206661766f72202020202020|*Recoja su tarjeta * \      por favor      |
|496e736572746520656e206c612072616e757261 \ 546972612061206c6120697a7175696572646120|Inserte en la ranura \ Tira a la izquierda |
|496e736572746520636f6d706c65746120202020 \ 7265636f6a616c612072617069646f2020202020|Inserte completa     \ recojala rapido     |
|496e73657274652063617261206162616a6f2020 \ 546972612061206c6120697a7175696572646120|Inserte cara abajo   \ Tira a la izquierda |
|5461726a657461206e6f20616365707461646120 \ 566561206c61206c697374612020202020202020|Tarjeta no aceptada  \ Vea la lista        |
|4578706972616461206f206176616e7a61646120 \ 557365206f747261207461726a65746120202020|Expirada o avanzada  \ Use otra tarjeta    |
|4e6f207365206c6565206c61207461726a657461 \ 557365206f747261207461726a65746120202020|No se lee la tarjeta \ Use otra tarjeta    |
|2a2020202056616c6964657a20656e202020202a \ 20202020202070726f677265736f202020202020|*    Validez en    * \       progreso      |
|2a2020202020204573706572652020202020202a \ 202020202020706f72206661766f722020202020|*      Espere      * \       por favor     |
|5461726a657461206e6f2065732076616c696461 \ 506f72206661766f72206375656c677565202020|Tarjeta no es valida \ Por favor cuelgue   |
|2a20202020204772616369617320202020202a20 \ 20204d617271756520656c206e756d65726f2020|*     Gracias     *  \   Marque el numero  |
|20204d617271756520656c206e756d65726f2020 \ 2020202020706f72206661766f72202020202020|  Marque el numero   \      por favor      |
|2020202020202020202020202020202020202020 \ 456d70756a6520b7202076612063616d62696172|                     \ Empuje ·  va cambiar|
|4c6c616d616e646f3a2020202020202020202020 \ 2020202020202020202020202020202020202020|Llamando:            \                     |
|4d6172717565206c6120636c6176652020202020 \ 2020202020202020b8b8b8b82020202020202020|Marque la clave      \         ¸¸¸¸        |
|204d6172717565206c612073696775656e746520 \ 2020202020206c6c616d61646120202020202020| Marque la siguente  \       llamada       |
|4d6172717565206e6f206465207461726a657461 \ 6f2065737065726520656c206f70657261646f72|Marque no de tarjeta \ o espere el operador|
|426f746f6e206573746120656e20626c616e636f \ 6d6172717565206f20757365206f74726f202020|Boton esta en blanco \ marque o use otro   |
|50617261206861636572206f7472612020202020 \ 6c6c616d616461202020656d70756a6520b72020|Para hacer otra      \ llamada   empuje ·  |
|50617261206f747261206c6c616d6164613a20b7 \ 2020202020202020202020202020202020202020|Para otra llamada: · \                     |
|2a4e6f20736520636f62726f20706f72206c612a \ 202020756c74696d61206c6c616d616461202020|*No se cobro por la* \    ultima llamada   |
|2020506f72206661766f72206375656c67652020 \ 207920656d7069656365206f7472612076657a20|  Por favor cuelge   \  y empiece otra vez |
|506f72206661766f72206375656c676520202020 \ 2020202020202020202020202020202020202020|Por favor cuelge     \                     |
|2020207365207065726d6974656e202020202020 \ 456d7069656365206f7472612076657a20202020|   se permiten       \ Empiece otra vez    |
|4e6f20686179206163636573736f207061726120 \ 657365206e756d65726f202055736520b7202020|No hay accesso para  \ ese numero  Use ·   |
|2020202020202020202020202020202020202020 \ 2a41667565726120646520736572766963696f2a|                     \ *Afuera de servicio*|
|536572766963696f20636f6e2074617267657461 \ 2020202020ae6e6963616d656e74652020202020|Servicio con targeta \      ®nicamente     |
|536572766963696f20636f6e206d6f6e65646173 \ 2020202020ae6e6963616d656e74652020202020|Servicio con monedas \      ®nicamente     |
|2a2a20202020536f6e616e746520202020202a2a \ 20436f6e746573746120706f72206661766f7220|**    Sonante     ** \  Contesta por favor |
|2045737065726520756e206d6f6d656e746f2020 \ 736520656d7069657a61206465206e7565766f20| Espere un momento   \ se empieza de nuevo |
|2020202020202020202020202020202020202020 \ 4e6f2065732076616c69646f2055736520b72020|                     \ No es valido Use ·  |
|20202020456c2074656c65666f6e6f2020202020 \ 202020206e6f2074726162616a61202020202020|    El telefono      \     no trabaja      |
|2a205345204d414e444f20414c41524d4120202a \ 2a2020205441504120414249455254412020202a|* SE MANDO ALARMA  * \ *   TAPA ABIERTA   *|
|496e7365727465206c61207461726a6574612020 \ 6f206d617271756520656c206e756d65726f2020|Inserte la tarjeta   \ o marque el numero  |
|496e7365727465206c61207461726a6574612020 \ 6f206465706f7369746520202020202020202020|Inserte la tarjeta   \ o deposite          |
|506f72206661766f722020202020202020202020 \ 4465706f73697465202020202020202020202020|Por favor            \ Deposite            |
|4372656469746f3a202020202020202020202020 \ 4465706f736974653a2020202020202020202020|Credito:             \ Deposite:           |
|4d6172717565206c612070726f78696d61202020 \ 4372656469746f3a202020202020202020202020|Marque la proxima    \ Credito:            |
|5465726d696e6120656e20202020202073656720 \ 4465706f73697465202020202020202020202020|Termina en      seg  \ Deposite            |
|5469656d706f2020202020202020202020202020 \ 55736520b720706172612070726f78696d612020|Tiempo               \ Use · para proxima  |
|496e7365727465206c61207461726a6574612020 \ 6f2065737065726520656c20636f73746f202020|Inserte la tarjeta   \ o espere el costo   |
|20204e6f20736967612e20204d75636861732020 \ 2020206d6f6e6564617320636869636173202020|  No siga.  Muchas   \    monedas chicas   |
|50726f626c656d6120636f6e206d6f6e65646173 \ 6e6f207365206163657074616e206d6173202020|Problema con monedas \ no se aceptan mas   |
|4772616369617320706f72207573617220202020 \ 2020202020202020202020202020202020202020|Gracias por usar     \                     |
|5375206c617267612064697374616e6369612020 \ 6e6f207065726d69746520737520636172746120|Su larga distancia   \ no permite su carta |
|5375206c617267612064697374616e6369612020 \ 6e6f207065726d69746520737520636172746120|Su larga distancia   \ no permite su carta |
|496e7365727465206c61207461726a6574612020 \ 6f206d617271756520656c206e756d65726f2020|Inserte la tarjeta   \ o marque el numero  |
|2020202020202020202020202020202020202020 \ 2020202020202020202020202020202020202020|                     \                     |
|2020202020202020202020202020202020202020 \ 2020202020202020202020202020202020202020|                     \                     |
|2020202020202020202020202020202020202020 \ 2020202020202020202020202020202020202020|                     \                     |
|2020202020202020202020202020202020202020 \ 2020202020202020202020202020202020202020|                     \                     |
|2020202020202020202020202020202020202020 \ 2020202020202020202020202020202020202020|                     \                     |
|2020202020202020202020202020202020202020 \ 2020202020202020202020202020202020202020|                     \                     |
|4e6f20686179206163636573736f207061726120 \ 657365206e756d65726f202055736520b7202020|No hay accesso para  \ ese numero  Use ·   |
|496e7365727465206c61207461726a6574612020 \ 6f206d617271756520776c206e756d65726f2020|Inserte la tarjeta   \ o marque wl numero  |
|496e7365727465206c61207461726a6574612020 \ 656e206c612072616e7572612020202020202020|Inserte la tarjeta   \ en la ranura        |
|20506f6e67612063617261206f70756573746120 \ 2020202020202020202020202020202020202020| Ponga cara opuesta  \                     |
